source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
ATTITUDE,169.191,2.608625888824463,-0.05020708590745926,0.20711897313594818,,,,,,,
AHRS2,,2.593322515487671,-0.04496567323803902,0.2138080596923828,0.0,0.0,0.0,,,,
AHRS3,,2.608625888824463,-0.05020708590745926,0.20711897313594818,56.0,48.5468682,35.101517699999995,,,,
GLOBAL_POSITION_INT,169.091,,,,,48.5468682,35.101517699999995,-0.852,,,
MOUNT_STATUS,,,,,,,,,44.0,0.0,-143.0
GPS_RAW_INT,169.291,0.0,,,,48.546869099999995,35.1015168,,,,
GPS2_RAW,169.292,0.0,,,,48.546869099999995,35.1015168,,,,
GLOBAL_POSITION_INT,169.291,,,,,48.5468683,35.1015176,-0.848,,,
ATTITUDE,169.491,2.608625888824463,-0.05004556477069855,0.2071329951286316,,,,,,,
AHRS2,,2.593008041381836,-0.04439156502485275,0.21456822752952576,0.0,0.0,0.0,,,,
AHRS3,,2.608625888824463,-0.05004556477069855,0.2071329951286316,56.0,48.5468683,35.1015176,,,,
MOUNT_STATUS,,,,,,,,,44.0,0.0,-143.0
GPS_RAW_INT,169.49099999999999,0.0,,,,48.546869199999996,35.1015167,,,,
GPS2_RAW,169.49099999999999,0.0,,,,48.546869199999996,35.1015167,,,,
GLOBAL_POSITION_INT,169.691,,,,,48.5468684,35.1015175,-0.85,,,
ATTITUDE,169.752,2.608603000640869,-0.05000118166208267,0.20713236927986145,,,,,,,
AHRS2,,2.5928168296813965,-0.045295726507902145,0.21419605612754822,0.0,0.0,0.0,,,,
AHRS3,,2.608603000640869,-0.05000118166208267,0.20713236927986145,56.0,48.5468684,35.1015175,,,,
GPS_RAW_INT,169.691,0.0,,,,48.5468693,35.1015167,,,,
GPS2_RAW,169.691,0.0,,,,48.5468693,35.1015167,,,,
MOUNT_STATUS,,,,,,,,,44.0,0.0,-143.0
GLOBAL_POSITION_INT,169.891,,,,,48.5468684,35.1015175,-0.858,,,
ATTITUDE,170.071,2.6085968017578125,-0.050090186297893524,0.20733311772346497,,,,,,,
AHRS2,,2.5925605297088623,-0.04573768004775047,0.21451102197170258,0.0,0.0,0.0,,,,
AHRS3,,2.608593702316284,-0.05011413246393204,0.20734840631484985,56.0,48.5468684,35.1015174,,,,
GPS_RAW_INT,170.09099999999998,0.0,,,,48.5468693,35.1015168,,,,
GPS2_RAW,170.09099999999998,0.0,,,,48.5468693,35.1015168,,,,
MOUNT_STATUS,,,,,,,,,44.0,0.0,-143.0
GLOBAL_POSITION_INT,170.091,,,,,48.5468684,35.1015174,-0.867,,,
GPS_RAW_INT,170.291,0.0,,,,48.5468694,35.101517,,,,
GPS2_RAW,170.291,0.0,,,,48.5468694,35.101517,,,,
